,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,ndwi,b_g,b_r,mci,ndci,y,x,spatial_ref,time
188,6,0.0209,0.0837,0.1152,0.14739999,0.067803346,2.4727165e-06,1.677664e-05,0.0033999998,0.017199999,0.0186,0.015,0.0143,0.088199995,0.0788,0.0224,0.024799999,0.8152709,-0.27563822,-0.13274339,-0.60038245,0.751634,0.78154683,1.3763441,0.26522842,-0.030153854,-1958075.0,3063485.0,3832,2024-01-01
189,6,0.0179,0.084,0.1166,0.1513,0.06275468,1.908922e-06,1.4998334e-05,0.0033,0.0144,0.0142,0.0126,0.0117,0.0916,0.0778,0.0196,0.021499999,0.8462477,-0.28601784,-0.120076835,-0.6486752,0.788416,0.7706543,1.3880953,0.23007712,-0.038318917,-1958145.0,3063485.0,3832,2024-01-01
190,6,0.0211,0.0757,0.102699995,0.13329999,0.06723143,2.7367412e-06,1.8311468e-05,0.0033,0.0176,0.0177,0.0142,0.013499999,0.0828,0.0747,0.0224,0.024999999,0.80745757,-0.27559805,-0.1072776,-0.5640496,0.7266839,0.7704426,1.356671,0.2824632,-0.00664895,-1957995.0,3063485.0,3832,2024-01-01
191,6,0.022,0.075899996,0.102699995,0.1327,0.074188,2.7197957e-06,2.0057207e-05,0.0033999998,0.0184,0.018099999,0.0149,0.014099999,0.0845,0.0755,0.023699999,0.025999999,0.798103,-0.27229148,-0.0972222,-0.5505618,0.71557856,0.77392614,1.3530962,0.29139075,-0.0026420034,-1957965.0,3063485.0,3832,2024-01-01
192,6,0.022,0.075899996,0.102699995,0.1327,0.074188,2.7197957e-06,2.0057207e-05,0.0033999998,0.0184,0.018099999,0.0149,0.014099999,0.0845,0.0755,0.023699999,0.025999999,0.798103,-0.27229148,-0.0972222,-0.5505618,0.71557856,0.77392614,1.3530962,0.29139075,-0.0026420034,-1957965.0,3063485.0,3832,2024-01-01
193,6,0.025899999,0.0547,0.0725,0.0907,0.07713386,4.110968e-06,2.741718e-05,0.0034999999,0.0201,0.0176,0.0176,0.015899999,0.062699996,0.067999996,0.0263,0.0279,0.67497694,-0.24759285,-0.07248522,-0.35732013,0.55574614,0.79933846,1.3254113,0.38088235,0.10839445,-1957795.0,3063485.0,3832,2024-01-01
194,6,0.0279,0.0534,0.0695,0.087,0.08475999,4.087239e-06,2.9199386e-05,0.0036,0.0231,0.019399999,0.0191,0.0173,0.065,0.0683,0.0296,0.0317,0.6399624,-0.23931624,-0.03345726,-0.31365314,0.5143603,0.7988506,1.3014982,0.40849194,0.12243223,-1957785.0,3063485.0,3832,2024-01-01
195,6,0.0207,0.0755,0.1043,0.13159999,0.07512792,2.9091298e-06,2.0508054e-05,0.0033999998,0.0186,0.0155,0.015199999,0.014099999,0.0733,0.0743,0.024,0.025999999,0.7929155,-0.27088362,-0.17454956,-0.56964654,0.728168,0.79255325,1.381457,0.27860028,-0.008010667,-1957835.0,3063485.0,3832,2024-01-01
196,6,0.0231,0.066,0.090799995,0.111899994,0.07357706,3.5749495e-06,2.3318727e-05,0.0034999999,0.0195,0.0173,0.016999999,0.0154,0.062299997,0.0721,0.0246,0.0267,0.73622966,-0.25801012,-0.18615285,-0.48148146,0.6577778,0.8114388,1.3757575,0.32038835,0.044170883,-1957815.0,3063485.0,3832,2024-01-01
197,6,0.0207,0.023799999,0.0468,0.036399998,0.06636038,7.232216e-06,4.8465437e-05,0.0037999998,0.0212,0.020299999,0.0206,0.0187,0.0469,0.024999999,0.0218,0.022699999,0.27719295,-0.20930232,0.0010672539,-0.069662884,0.2749562,1.2857144,1.9663866,0.82800007,0.02459016,-1957635.0,3063485.0,3832,2024-01-01
198,6,0.021399999,0.024899999,0.0488,0.0402,0.0666685,5.517587e-06,4.5727724e-05,0.0037999998,0.0213,0.0199,0.020299999,0.018099999,0.0491,0.029399998,0.023,0.023799999,0.32892564,-0.23502305,0.0030643651,-0.07559395,0.3051948,1.2139304,1.9598395,0.72789115,0.082872935,-1957665.0,3063485.0,3832,2024-01-01
199,6,0.021699999,0.0266,0.0517,0.0481,0.070596434,5.829447e-06,4.0480732e-05,0.0037999998,0.0231,0.0198,0.020399999,0.018199999,0.0493,0.0398,0.026099999,0.027199998,0.40437958,-0.28781793,-0.023762373,-0.1014493,0.3782235,1.0748441,1.943609,0.5452261,0.19879518,-1957685.0,3063485.0,3832,2024-01-01
200,6,0.020399999,0.0242,0.047399998,0.0374,0.06736763,6.2114536e-06,4.734859e-05,0.0037999998,0.0211,0.02,0.020299999,0.018199999,0.0492,0.0253,0.022,0.022699999,0.2963605,-0.21428572,0.018633548,-0.085201815,0.29411766,1.2673796,1.9586776,0.80632406,0.022222223,-1957645.0,3063485.0,3832,2024-01-01
201,6,0.021699999,0.0266,0.0517,0.0481,0.070596434,5.829447e-06,4.0480732e-05,0.0037999998,0.0231,0.0198,0.020399999,0.018199999,0.0493,0.0398,0.026099999,0.027199998,0.40437958,-0.28781793,-0.023762373,-0.1014493,0.3782235,1.0748441,1.943609,0.5452261,0.19879518,-1957685.0,3063485.0,3832,2024-01-01
202,6,0.0284,0.0402,0.0613,0.0712,0.083775535,4.9014716e-06,3.7618738e-05,0.0037999998,0.0256,0.020399999,0.0212,0.019,0.0559,0.0545,0.0307,0.0321,0.54112554,-0.2782765,-0.04607507,-0.17201164,0.42971885,0.86095506,1.5248756,0.52110094,0.15100318,-1957725.0,3063485.0,3832,2024-01-01
203,6,0.023899999,0.026899999,0.049599998,0.038799997,0.07698289,8.3517725e-06,4.9024562e-05,0.0039,0.023599999,0.0223,0.023,0.021,0.0481,0.0275,0.0246,0.024799999,0.2556634,-0.18112633,-0.015353115,-0.059055135,0.23763955,1.2783506,1.8438661,0.86909086,0.011029428,-1957605.0,3063485.0,3832,2024-01-01
204,6,0.020299999,0.022599999,0.0446,0.0336,0.06683999,8.729291e-06,5.040349e-05,0.0039,0.020299999,0.0197,0.02,0.018199999,0.0455,0.023599999,0.0213,0.0219,0.25373134,-0.19572954,0.009988905,-0.053613055,0.24675326,1.327381,1.9734514,0.8601695,0.021645024,-1957495.0,3063485.0,3832,2024-01-01
